City,Hotel_Count,Transport_Text,Hotels_Extracted
NICOSIA,14,"() has been closed off since the partition of the country. {{markertypegonameLarnaca Airporturl () (40 km, 30-min drive) has scheduled flights to all major European cities. An airport shuttle bus operates between Larnaca Airport and Nicosia, but this bus does not stop close to the city so you will have to take a taxi or walk to the highway and take a public bus from there.","Averof Hotel (sgl €35, dbl €55) | Sky Hotel (rates from €60) | Asty Hotel (sgl from €45, dbl from €65) | Kipros Accommodation (rates from €44) | Delphi Hotel (rates around €50)"
OSLO,0,"Flytoget (Airport Express Train), operates high speed express trains, generally taking 19-22 minutes to reach Oslo Central Station (Oslo S). Trains to Oslo Central Station depart every 10 minutes on weekdays from 07.00 to 23.10, Sundays from 11.30 to 23.10, and every 20 minutes at other times (04.40-06.50 and 23.10-00.50 everyday, 07.20-11.20 Sundays, and all-day during Saturdays and bank holidays). Every 20 minutes from 05.30 to 00.50, the train also calls at Lillestrøm and continues past Oslo S to Drammen, stopping at Nationaltheatret station, which is more convenient for destinations in the western end of the city .",
PARIS,0,,
PRAGUE,0,"around Prague consists of three metro lines (, , ), over twenty tram lines (numbered 1–31 & 91–99 for night trams), trolleybuses (numbered 58–59), buses (3-digit numbers), ferries, a few train lines (numbered S1, S2, S49,…), and one funicular, all using the same time tickets. Public transport schedules and fares are integrated by Pražská Integrovaná Doprava (abbreviated PID).",
RIGA,0,"Bus route 22 runs between the airport and the old town, with a stop near the central bus and railway stations as well as old town. These buses operate as any other public transport in Riga; see Riga#Get_around for more information on riding the buses. The journey to the old town takes 30-40 minutes.",
ROME,3,"Testaccio is a short walk from the metro station and Circus Maximus also has its own metro station on the line (Circo Massimo). Near Piramide Metro station is Ostiense railway station, with regular connections to and from Fiumicino Airport. From Piramide you can also get trains to Ostia.","Gazometro B&B Rome () | Hotels Aventine, San Anselmo and San Pio () | Testaccio Hotel, Sonder (Single €99, double €121)"
SOFIA,18,"Sofia Metro Line 4 (Yellow) operates service to the airport between 05:30 and 24:00. The stop is a few metres outside of Terminal 2; follow signs for ""Subway"" until you leave the southeast corner of the building. The journey to the city centre takes 20–30 minutes.",Peter Pan Hostel (Private €12-14) | Levitt Hostel (€10) | Crosspoint Sofia Hostel (€9-18) | Hostel Mostel (From €9) | Nightingale Hostel (€7-12)
STOCKHOLM,0,"The most practical option is the airport coaches to the City Terminal in Stockholm (80 min; 199 kr online). A sometimes cheaper option is to take the local bus 515 or 715 to Nyköping's rail station (alight at Nyköping Centralstation), from where SJ regional trains (timetable, direct services run to stations marked in white) on the Norrköping–Nyköping–Stockholm route connect to Stockholm (from 100 kr, cheaper on select days). Tickets can be bought the following two ways: Buy an SL combined ticket from Skavsta to Stockholm, valid on both the local bus and the regional train.",
TALLINN,43,Land transport: Taxis to the old town should cost €7–10. The Bolt app is more popular than Uber (it's Estonian after all!) Tram #2 is diverted until 2025 and doesn't stop at the airport – it will resume when construction of the Rail Baltica terminal has reached a point where the tram can pass under the railway line. Bus #2 and Bus #15 depart roughly every 12–15 min to the centre.,16EUR Hostel (Dorm bed: from €10; Single: €16-25) | Alur Hostel (Dorm bed: from €9) | Euphoria (Dorm bed: from €9) | Fat Margeret's (Bed from €10) | Flying Kiwi Backpackers ()
VALLETTA,12,"By bus In front of the main gate of Valletta is the for the entire island, and bus lines covering the island in a grid, most of them spread out from here and return to here.","Asti Guesthouse (€20) | Grand Harbour Hotel (standard double rooms from €100 (from €80 in low season), including breakfast) | British Hotel (rates from about €120) | Valletta G-House (€150/night) | Valletta Suites (€140 per suite per night)"
VIENNA,0,"There are two main bus stations in Vienna, and other locations where national and international services deposit passengers. Vienna International Busterminal (VIB) located adjacent to the subway stop Erdberg (U3) is overseen by the local Eurolines affiliate Blaguss, who publish timetables. Waldmanngründe on the southwest corner of Südtiroler Platz(U1, S-Bahn) is a stop with an office only for services to Bratislava, other operators have offices in the nearby streets or just operate curbside services.",
VILNIUS,23,"Buses leave from outside Arrivals every 15-30 min and take 15 min to go downtown. Simplest is to buy a €1 single ticket by card, and you might pay extra for bulky luggage. ""Get around"" below describes other ticket deals, such as the smart card Vilniečio kortelė — buy it from the Narvesen kiosk next to Arrivals.","Filaretai Hostel (Dorm €33 ppn) | Jimmy Jumps House (Dorm beds from ~€18, privates from ~€40) | Pogo Hostel (Dorm €20 ppn) | City Hotel Algirdas (B&B double €50) | Domus Maria (B&B double €60)"
WARSAW,0,"Regular Warsaw transport tickets issued by ZTM (the local transport operator which runs city buses, trams and the metro) are valid on SKM train services between the airport and Warsaw. The airport is in fare zone 1 so a single adult ride is 3.40 zł. If you need a bus at the other end, get a one-transfer ticket (valid 75 min) for 4.40 zł.",
ZAGREB,30,"Buses leave from the airport at 07:00 and every 30 minutes between 08:00 and 20:00. Beyond these hours, there are buses leaving to the main bus station every time a Croatia Airlines plane lands. When traveling to the airport from the main Zagreb bus station, the buses are scheduled between 04:30 and 20:30.","Chillout Hostel Zagreb (From €25) | Fulir Hostel Zagreb () | Funk Lounge (dorm from: €13, private from: €20) | Hobo Bear Hostel (Dorm bed: €14) | Hostel Lika (Dorm bed: €13.5)"
